Possum ID,Time since tranq,Time in chamber,time of day,Mass,LnMass(kg),Mass0.737,Temp-category,Temp-Ambient,RMR kJ/d,Oxygen consumption ml/min,Body temp oC,CO2Production ml/min,EvapWaterloss mg/min,RespRate hz,TidalVolume ml,MinuteVolume ml/min,RECoeff,Temp,RMR model,Tb model,RR model,TV model,EWL model,MV Model,RR cubic model
F0B28,12.09166667,1.925,9.508333333,1.545,0.43502391,1.377971681,5,5.3347,472.6421857,16.57695657,36.416,10.72163137,14.43,0.764162667,8.784746368,402.819018,0.64677924,5.3347,395.8806552,36.57405397,0.804398842,9.261473701,12.78000974,358.3510245,0.660598689
F280A,14.05833333,1.308333333,9.058333333,1.0375,0.036813973,1.02750332,5,5.27092241,340.858691,11.95492042,36.6933549,7.83007582,11.42034205,0.51881,13.21274716,410.909389,0.654966787,5.27092241,396.8449338,36.58301963,0.80848534,9.264662932,12.79688896,359.2618636,0.65705626
F662C,12.99166667,1.375,8.458333333,1.15,0.139761942,1.108496454,5,4.87744252,356.9552666,12.51947484,36.2298311,7.92907178,12.67543894,0.7951766,6.164625563,293.5148142,0.633339008,4.87744252,402.8563821,36.63945475,0.834164177,9.283490764,12.90664439,364.9475364,0.633632141
F6F0B,15.825,1.158333333,9.158333333,1.09,0.086177696,1.065573298,5,4.57405457,333.7335493,11.70502067,37.5496358,7.22173159,16.69902374,0.602258,9.258670499,327.1447463,0.616977261,4.57405457,407.5646102,36.68428553,0.854512217,9.297010887,12.99787163,369.4091882,0.613686711
M1964,14.375,1.625,9.125,1.04,0.039220713,1.029327489,5,4.94199214,392.6259769,13.77055194,37.1904654,8.16459075,13.55627781,0.927195,5.83124789,324.239152,0.592902215,4.94199214,401.8628671,36.6300644,0.829896511,9.280502205,12.88797624,364.0070014,0.637662089
M5918,12.675,1.925,8.841666667,1.07,0.067658648,1.051128579,5,4.71575733,369.1234615,12.94624935,37.0470754,7.34522441,5.57152326,0.455557067,10.59612059,288.6896988,0.567363119,4.71575733,405.3576187,36.66320378,0.844948842,9.290804099,12.95454691,367.316865,0.623210046
M6615,12.95833333,1.125,9.458333333,1.21,0.19062036,1.150834355,5,5.096984584,539.7260935,18.92978723,35.13104818,12.29008002,14.5690734,0.79241075,8.084191636,384.6555216,0.649245545,5.096984584,399.4890787,36.60772887,0.81973757,9.273165828,12.84421398,361.761167,0.647036919
F0B28,13.50833333,3.341666667,10.925,1.545,0.43502391,1.377971681,12,11.99387741,346.1063112,12.13896995,35.9570333,7.41149429,15.7607823,0.7048672,7.050948389,298.2466491,0.610553805,11.99387741,310.6925998,35.91684002,0.493902869,8.717390656,12.41553185,279.7186827,0.721306979
F280A,16.10833333,3.358333333,11.10833333,1.0375,0.036813973,1.02750332,12,11.93160063,317.9326315,11.15083584,35.8701285,7.12651849,11.95329088,0.461890667,13.72057243,379.7872195,0.639101731,11.93160063,311.3470909,35.9204268,0.495740439,8.724416014,12.40611217,280.3029084,0.722878802
F662C,14.69166667,3.075,10.15833333,1.15,0.139761942,1.108496454,12,11.94910174,268.4411982,9.41502519,35.184493,5.30721178,14.42826862,0.5965186,7.962794255,286.543946,0.563695972,11.94910174,311.1628936,35.91941396,0.495222009,8.722445432,12.40873484,280.1384401,0.722439846
F6F0B,17.95833333,3.291666667,11.29166667,1.09,0.086177696,1.065573298,12,12.45204953,260.5427398,9.13800294,37.1206765,5.65728232,14.93189609,0.453483,9.236682879,251.2326846,0.619093948,12.45204953,305.9600187,35.8919375,0.481002653,8.664580571,12.49227846,275.5082442,0.708933817
M1964,15.75833333,3.008333333,10.50833333,1.04,0.039220713,1.029327489,12,12.00783544,312.9504868,10.97609732,36.7642524,5.98526452,15.78164613,0.694911,5.96368145,250.26128,0.545299877,12.00783544,310.5462776,35.91604274,0.493493778,8.715811052,12.4176763,279.5881322,0.720950957
M5918,14.15833333,3.408333333,10.325,1.07,0.067658648,1.051128579,12,12.5311432,270.3883574,9.48331781,36.0856974,5.33507914,7.70711789,0.485602667,9.124063425,265.3802768,0.562575171,12.5311432,305.1577465,35.88790335,0.478885986,8.655263672,12.50685402,274.7970353,0.70666014
M6615,14.49166667,2.658333333,10.99166667,1.21,0.19062036,1.150834355,12,11.98398185,457.1600083,16.03395091,35.1068245,10.37010435,16.23339953,0.823477,7.156739473,353.3389633,0.646759143,11.98398185,310.7964167,35.91740672,0.494193508,8.718509404,12.41401891,279.8113234,0.721558557
F0B28,15.35833333,5.191666667,12.775,1.545,0.43502391,1.377971681,18,18.41654657,301.1845589,10.5634315,35.7739264,6.40393963,17.15156281,0.5559268,8.885397588,297.1885614,0.606236679,18.41654657,257.6095458,35.80641469,0.412484185,7.796475281,14.68753494,234.7901529,0.481184328
F280A,17.90833333,5.158333333,12.90833333,1.0375,0.036813973,1.02750332,18,18.18474598,238.896107,8.37879163,35.6662026,5.77696623,14.90986326,0.381363333,11.71265148,268.0682558,0.689474865,18.18474598,259.0286968,35.80145971,0.411698433,7.836478289,14.56072672,235.8837149,0.49025124
F662C,16.29166667,4.675,11.75833333,1.15,0.139761942,1.108496454,18,17.7364068,226.0226764,7.92728242,35.3631041,4.41059715,15.08161822,0.5453345,7.415540791,243.424924,0.556381988,17.7364068,261.8790979,35.79377572,0.410970027,7.912412705,14.32498101,238.1110227,0.508149326
F6F0B,19.175,4.508333333,12.50833333,1.09,0.086177696,1.065573298,18,18.18263997,231.1533258,8.10722944,37.0301042,5.3084021,17.37282739,0.384937667,10.94613498,252.7826753,0.654773883,18.18263997,259.0417609,35.80141776,0.411692572,7.836839412,14.55958999,235.8938316,0.490334257
M1964,17.475,4.725,12.225,1.04,0.039220713,1.029327489,18,17.7743353,236.9216213,8.30954059,36.3209648,4.56815622,16.17696005,0.58087275,6.63074012,229.658426,0.549748349,17.7743353,261.6325728,35.79432879,0.410991251,7.906062217,14.34443852,237.9168705,0.506619295
M5918,15.49166667,4.741666667,11.65833333,1.07,0.067658648,1.051128579,18,17.88408413,218.1621617,7.65159097,35.6758942,4.23990797,9.46891689,0.4565188,7.449895236,204.5043279,0.554121095,17.88408413,260.9248442,35.79603011,0.411094725,7.887610207,14.40124629,237.3610402,0.502207347
M6615,15.225,3.391666667,11.725,1.21,0.19062036,1.150834355,18,17.98295373,345.3437304,12.11222399,35.4316347,7.49768439,19.65750233,0.860977333,6.343148532,322.6178275,0.619017977,17.98295373,260.2944103,35.79769128,0.411241471,7.870890064,14.45306684,236.8678967,0.498253522
F0B28,16.775,6.608333333,14.19166667,1.545,0.43502391,1.377971681,24,24.0213,262.8169639,9.21776669,35.9735142,5.80701928,18.90815698,0.5306965,7.716987805,245.7737116,0.629981152,24.0213,234.6173827,36.13002073,0.516378375,6.674995245,18.77510268,220.3836036,0.353114222
F280A,19.49166667,6.741666667,14.49166667,1.0375,0.036813973,1.02750332,24,23.86416145,232.7692095,8.16390325,35.9126047,5.50914657,19.22581462,0.410623333,10.49646738,258.4988088,0.674817719,23.86416145,234.965734,36.11561483,0.511243959,6.710473979,18.6337714,220.4725815,0.353080049
F662C,18.10833333,6.491666667,13.575,1.15,0.139761942,1.108496454,24,23.80376152,207.3342405,7.27182381,35.6978291,3.87570353,16.5176545,0.477635833,6.266962191,176.8875681,0.532975445,23.80376152,235.1041786,36.11015944,0.509304524,6.72404912,18.57985765,220.5116162,0.353140596
F6F0B,20.94166667,6.275,14.275,1.09,0.086177696,1.065573298,24,23.92679906,211.4583427,7.41646825,36.9237882,4.72055524,20.72177394,0.346934667,9.615364605,199.8664585,0.636496386,23.92679906,234.8248276,36.12132035,0.513275247,6.696359572,18.68992318,220.434936,0.353060292
M1964,19.09166667,6.341666667,13.84166667,1.04,0.039220713,1.029327489,24,24.2529559,212.5774761,7.45571956,36.3263583,3.77153994,19.53236178,0.553727,5.47432029,180.480048,0.505858611,24.2529559,234.1350102,36.15181923,0.524181344,6.622267323,18.98626761,220.2855665,0.353679981
M5918,17.24166667,6.491666667,13.40833333,1.07,0.067658648,1.051128579,24,23.37544322,206.5869772,7.24561508,35.9529617,4.23948515,8.12812831,0.397440667,6.97751539,166.5881042,0.585110457,23.37544322,236.1583887,36.07277734,0.496094514,6.819328505,18.20407144,220.8654374,0.354709338
M6615,18.04166667,6.208333333,14.54166667,1.21,0.19062036,1.150834355,24,23.99454992,287.1203971,10.07015983,35.7358407,6.5981418,19.03842432,0.7825845,5.715396935,265.9449817,0.655217187,23.99454992,234.6754762,36.12754665,0.515495279,6.681051322,18.7509346,220.3974673,0.353088676
F0B28,18.20833333,8.041666667,15.625,1.545,0.43502391,1.377971681,30,30.81681792,261.3331062,9.16572342,36.8301339,5.84333238,21.9439999,0.59263075,6.365765931,225.8484328,0.637520042,30.81681792,235.9049472,37.04735772,0.861033341,4.917934402,26.36231361,233.9178532,0.704002617
F280A,20.775,8.025,15.775,1.0375,0.036813973,1.02750332,30,30.652998,216.9769738,7.61002293,36.2714789,4.72305656,28.07794259,0.341094,8.672814827,177.1232334,0.620636311,30.652998,235.4979033,37.01847513,0.849905289,4.96541436,26.14548533,233.1918942,0.68562925
F662C,19.59166667,7.975,15.05833333,1.15,0.139761942,1.108496454,30,30.00753056,210.5026077,7.3829478,36.5886756,4.18116458,22.90678547,0.511397667,5.570526604,170.5775116,0.566327258,30.00753056,234.0749,36.90792909,0.807415262,5.150027337,25.30747043,230.52372,0.618800503
F6F0B,22.775,8.108333333,16.10833333,1.09,0.086177696,1.065573298,30,30.8121224,199.488876,6.99666372,37.7928278,4.23442936,27.67327371,0.3618078,7.529836953,163.0072217,0.605206929,30.8121224,235.8930216,37.04652521,0.860712442,4.919298829,26.3560754,233.8967704,0.703467875
M1964,20.40833333,7.658333333,15.15833333,1.04,0.039220713,1.029327489,30,30.32133718,191.5411799,6.71791456,36.4150024,3.5585487,24.31226672,0.38457033,5.71252214,131.010421,0.529710324,30.32133718,234.7306997,36.9610248,0.827802518,5.060764852,25.71163795,231.782615,0.650195128
M5918,18.64166667,7.891666667,14.80833333,1.07,0.067658648,1.051128579,30,30.25055816,196.2384387,6.88266129,36.3825385,4.14798831,13.98566913,0.39429525,5.049877211,118.9909548,0.602672155,30.25055816,234.5768309,36.94894191,0.823159536,5.080979092,25.61994094,231.4923432,0.642934788
M6615,19.525,7.691666667,16.025,1.21,0.19062036,1.150834355,30,30.65410512,259.3482641,9.09610915,36.5112843,5.90164101,24.88164626,0.585005,6.584607002,230.5062123,0.648809388,30.65410512,235.5005918,37.0186692,0.849980026,4.965094332,26.14694506,233.1967341,0.685751471
F0B28,19.925,9.758333333,17.34166667,1.545,0.43502391,1.377971681,35,35.199693,304.5262024,10.6806328,38.3437416,6.43606655,32.2432708,1.159988,3.307605351,225.0327612,0.60259225,35.199693,253.6920324,37.94423799,1.210471859,3.553686304,32.78562546,260.671687,1.43420966
F280A,22.05,9.3,17.05,1.0375,0.036813973,1.02750332,35,35.1019376,262.5730885,9.20921326,37.8479207,6.15491196,40.3189516,1.6810845,3.577226605,360.8510141,0.668342863,35.1019376,253.1503312,37.92162432,1.20159089,3.5860895,32.62928032,259.92086,1.412431668
F662C,21.04166667,9.425,16.50833333,1.15,0.139761942,1.108496454,35,34.8742897,240.5181692,8.43568214,37.5378224,4.81412788,27.41287847,1.8375218,3.506574784,354.4345188,0.570686259,34.8742897,251.9144825,37.86942422,1.181101576,3.661199173,32.26750462,258.1996247,1.362763902
F6F0B,24.00833333,9.341666667,17.34166667,1.09,0.086177696,1.065573298,35,35.1626464,213.6501819,7.49334252,38.16336537,4.47217883,33.7301865,1.23347025,3.064158619,217.2850609,0.596820287,35.1626464,253.4859641,37.93565402,1.20710038,3.565976827,32.72630473,260.3863168,1.425924425
M1964,21.925,9.175,16.675,1.04,0.039220713,1.029327489,35,35.2601999,266.5905932,9.35011901,37.9779127,5.45197955,42.6763249,2.53382975,2.80345346,440.781216,0.583091995,35.2601999,254.0306392,37.95829466,1.215993696,3.533584799,32.8826962,261.1399435,1.447825797
M5918,20.14166667,9.391666667,16.30833333,1.07,0.067658648,1.051128579,35,35.0224367,231.7407967,8.12783378,37.7659417,4.98506206,23.68696146,1.0205904,3.011657377,186.4180295,0.613332186,35.0224367,252.7146626,37.90332124,1.194404893,3.612375394,32.50257055,259.3154243,1.394920269
M6615,20.91666667,9.083333333,17.41666667,1.21,0.19062036,1.150834355,35,35.5058225,269.5539902,9.45405409,38.3222857,6.05305767,32.9992531,1.3608035,3.970990327,316.8280969,0.640260529,35.5058225,255.4312088,38.01582496,1.238604258,3.451629921,33.2790945,263.0684541,1.50417799