fur_id,replicate,depth.mm,depth.m,side
1,1,19.76,0.01976,back
1,2,16.76,0.01676,back
1,3,18.97,0.01897,back
1,4,20.58,0.02058,back
1,5,16.34,0.01634,back
1,6,22.08,0.02208,back
2,1,21.8,0.0218,back
2,2,19.6,0.0196,back
2,3,16.26,0.01626,back
2,4,15.71,0.01571,back
2,5,16.56,0.01656,back
2,6,18.32,0.01832,back
3,1,14.73,0.01473,back
3,2,14.44,0.01444,back
3,3,14.5,0.0145,back
3,4,18.98,0.01898,back
3,5,14.73,0.01473,back
3,6,15.88,0.01588,back
4,1,19.39,0.01939,back
4,2,17.99,0.01799,back
4,3,20.71,0.02071,back
4,4,18.23,0.01823,back
4,5,17.55,0.01755,back
4,6,16.45,0.01645,back
5,1,22.22,0.02222,back
5,2,22.29,0.02229,back
5,3,23,0.023,back
5,4,24.18,0.02418,back
5,5,22.28,0.02228,back
5,6,23.93,0.02393,back
6,1,16.81,0.01681,back
6,2,17.81,0.01781,back
6,3,16.52,0.01652,back
6,4,14.9,0.0149,back
6,5,17.65,0.01765,back
6,6,18.33,0.01833,back
7,1,18.79,0.01879,back
7,2,17.18,0.01718,back
7,3,16.02,0.01602,back
7,4,17.12,0.01712,back
7,5,17.85,0.01785,back
7,6,15.97,0.01597,back
1,1,15.36,0.01536,flank
1,2,10.91,0.01091,flank
1,3,12.15,0.01215,flank
1,4,11.77,0.01177,flank
1,5,12.52,0.01252,flank
1,6,10.01,0.01001,flank
2,1,10.97,0.01097,flank
2,2,10.79,0.01079,flank
2,3,11.41,0.01141,flank
2,4,10.72,0.01072,flank
2,5,9.88,0.00988,flank
2,6,10.05,0.01005,flank
3,1,12.34,0.01234,flank
3,2,16.73,0.01673,flank
3,3,12.67,0.01267,flank
3,4,13.02,0.01302,flank
3,5,18.05,0.01805,flank
3,6,12.08,0.01208,flank
4,1,9.47,0.00947,flank
4,2,12.35,0.01235,flank
4,3,9.29,0.00929,flank
4,4,16.17,0.01617,flank
4,5,10.28,0.01028,flank
4,6,11.45,0.01145,flank
5,1,16.43,0.01643,flank
5,2,16.15,0.01615,flank
5,3,10.94,0.01094,flank
5,4,16.82,0.01682,flank
5,5,17.64,0.01764,flank
5,6,13.29,0.01329,flank
6,1,11.09,0.01109,flank
6,2,7.92,0.00792,flank
6,3,9.02,0.00902,flank
6,4,10.22,0.01022,flank
6,5,9.97,0.00997,flank
6,6,9.51,0.00951,flank
7,1,8.71,0.00871,flank
7,2,8.62,0.00862,flank
7,3,6.76,0.00676,flank
7,4,7.85,0.00785,flank
7,5,8.67,0.00867,flank
7,6,8.29,0.00829,flank
1,1,2.9,0.0029,belly
1,2,3.85,0.00385,belly
1,3,3.46,0.00346,belly
1,4,5.52,0.00552,belly
1,5,8.85,0.00885,belly
1,6,7.72,0.00772,belly
2,1,2.92,0.00292,belly
2,2,3.4,0.0034,belly
2,3,2.92,0.00292,belly
2,4,3.28,0.00328,belly
2,5,2.77,0.00277,belly
2,6,2.9,0.0029,belly
3,1,3.54,0.00354,belly
3,2,2.87,0.00287,belly
3,3,2.69,0.00269,belly
3,4,2.3,0.0023,belly
3,5,2.87,0.00287,belly
3,6,3.15,0.00315,belly
4,1,2.59,0.00259,belly
4,2,3.58,0.00358,belly
4,3,2.83,0.00283,belly
4,4,3.29,0.00329,belly
4,5,2.69,0.00269,belly
4,6,2.18,0.00218,belly
5,1,2.38,0.00238,belly
5,2,2.72,0.00272,belly
5,3,4.98,0.00498,belly
5,4,3.95,0.00395,belly
5,5,2.99,0.00299,belly
5,6,3.18,0.00318,belly
6,1,3.15,0.00315,belly
6,2,2.84,0.00284,belly
6,3,2.56,0.00256,belly
6,4,2.89,0.00289,belly
6,5,2.64,0.00264,belly
6,6,2.18,0.00218,belly
7,1,2.61,0.00261,belly
7,2,2.69,0.00269,belly
7,3,2.19,0.00219,belly
7,4,2.03,0.00203,belly
7,5,2.51,0.00251,belly
7,6,2.41,0.00241,belly